figure,profile,case,series,run,value,unit,source_identity,identity_kind,notes
P01,rv64-smp1-kstack,kernel stack create/join,baseline,A0,564.723,ms,a2c27c71492d857f0e69f6a60a23fe5145ecd11e5a2a854145bd14e7b0987f3a,patch-sha256,recording disabled median; probe on 821cbb10
P01,rv64-smp1-kstack,kernel stack create/join,baseline,A1,559.605,ms,a2c27c71492d857f0e69f6a60a23fe5145ecd11e5a2a854145bd14e7b0987f3a,patch-sha256,recording disabled median; probe on 821cbb10
P01,rv64-smp1-kstack,kernel stack create/join,production,A0,470.433,ms,5d53e7f1e6112b9c39c100186552524fb2751393,git-commit,recording disabled median; formal optimization 0e68c973
P01,rv64-smp1-kstack,kernel stack create/join,production,A1,476.661,ms,5d53e7f1e6112b9c39c100186552524fb2751393,git-commit,recording disabled median; formal optimization 0e68c973
P01,rv64-smp1-user-fault,same-boot Cargo,baseline,A1,5.34,s,2b2b2a1de57d28a9ec9bdf4847582af51234a081,git-commit,recording disabled
P01,rv64-smp1-user-fault,same-boot Cargo,baseline,A2,6.14,s,2b2b2a1de57d28a9ec9bdf4847582af51234a081,git-commit,recording disabled
P01,rv64-smp1-user-fault,same-boot Cargo,candidate,B1,3.78,s,3edab6a1649773cd4fd6bcdf64f5cb55a3556f04938074c145353cb389a7b529,patch-sha256,exact research patch identity
P01,rv64-smp1-user-fault,same-boot Cargo,candidate,B2,3.92,s,3edab6a1649773cd4fd6bcdf64f5cb55a3556f04938074c145353cb389a7b529,patch-sha256,exact research patch identity
P02,rv64-smp1-dentry,clean Cargo,baseline,A1-1,4.08,s,825d4cc6541687ee750131ad2161d58505ba27d4,git-commit,recording disabled
P02,rv64-smp1-dentry,clean Cargo,baseline,A1-2,4.12,s,825d4cc6541687ee750131ad2161d58505ba27d4,git-commit,recording disabled
P02,rv64-smp1-dentry,clean Cargo,baseline,A1-3,4.13,s,825d4cc6541687ee750131ad2161d58505ba27d4,git-commit,recording disabled
P02,rv64-smp1-dentry,clean Cargo,baseline,A1-4,4.22,s,825d4cc6541687ee750131ad2161d58505ba27d4,git-commit,recording disabled
P02,rv64-smp1-dentry,clean Cargo,baseline,A1-5,4.30,s,825d4cc6541687ee750131ad2161d58505ba27d4,git-commit,recording disabled
P02,rv64-smp1-dentry,clean Cargo,baseline,A1-6,4.31,s,825d4cc6541687ee750131ad2161d58505ba27d4,git-commit,recording disabled
P02,rv64-smp1-dentry,clean Cargo,baseline,A1-7,4.36,s,825d4cc6541687ee750131ad2161d58505ba27d4,git-commit,recording disabled
P02,rv64-smp1-dentry,clean Cargo,production,B1-1,3.68,s,44abcddac727c8f74b953bd8ff41f37de3bfd954,git-commit,recording disabled
